keyword,group,news_rank,news_core_score,news_total_count,news_doc_freq_ratio,youtube_rank,youtube_core_score,youtube_total_count,youtube_doc_freq_ratio
책,common,32,1.2102288365722602,111,0.1095890410958904,1,6.8881993109169235,441,0.9846153846153847
작가,common,84,0.947491039434589,79,0.07876712328767123,3,4.0524041813169225,164,0.5384615384615384
쓰다,common,20,1.3556248477037671,157,0.21575342465753425,7,2.0103605145384615,69,0.4
여성,common,63,1.0201979552058218,83,0.07191780821917808,9,1.9139773540584617,40,0.1076923076923077
사회,common,19,1.373382733969178,162,0.22602739726027396,30,1.0498821538307692,26,0.18461538461538463
인간,common,31,1.219965748005822,114,0.11643835616438356,19,1.4130539808015385,38,0.23076923076923078
시작,common,72,0.9790576162828767,121,0.2534246575342466,20,1.2957012549246154,41,0.3384615384615385
한국,common,22,1.3272661522236302,145,0.18493150684931506,45,0.9667851301307692,21,0.12307692307692308
크다,common,23,1.3251241667376048,192,0.3458904109589041,68,0.8010215503907693,21,0.16923076923076924
만들다,common,24,1.3202074859020547,165,0.2602739726027397,34,1.025833946763077,29,0.26153846153846155
이상,common,38,1.1350339071160958,145,0.273972602739726,100,0.6657841457784616,16,0.16923076923076924
세계,common,39,1.130886726355137,135,0.2328767123287671,67,0.8076016567907691,20,0.18461538461538463
영화,common,92,0.9344714427414381,72,0.05821917808219178,56,0.8747103558338463,19,0.12307692307692308
이후,common,69,0.9880775432619862,133,0.3082191780821918,69,0.7984602075015385,16,0.09230769230769231
자신,common,82,0.9482799343311644,105,0.1917808219178082,70,0.7975647808538462,22,0.24615384615384617
상황,common,81,0.9493534925869862,114,0.2363013698630137,74,0.7672215739538463,19,0.18461538461538463
대통령,news_only,1,2.645729065822945,291,0.18835616438356165,,,,
우주,news_only,2,2.287774929246575,193,0.0821917808219178,,,,
연구,news_only,3,2.059550925862671,225,0.18493150684931506,,,,
대표,news_only,4,1.9892669369219178,250,0.2636986301369863,,,,
달,news_only,5,1.8316976985945206,168,0.1095890410958904,,,,
선거,news_only,6,1.7542278298691778,181,0.15753424657534246,,,,
사람,news_only,7,1.693476362685959,214,0.2671232876712329,,,,
데이터,news_only,8,1.6453268488712327,148,0.10273972602739725,,,,
센터,news_only,9,1.5937096641294521,128,0.0684931506849315,,,,
지역,news_only,10,1.5610717470356166,174,0.1952054794520548,,,,
연구진,news_only,11,1.5593276076808218,136,0.09246575342465753,,,,
별,news_only,12,1.5564698498509415,128,0.02054794520547945,,,,
같다,news_only,13,1.5346448767273975,217,0.3424657534246575,,,,
대출,news_only,14,1.531455380374315,123,0.0684931506849315,,,,
미국,news_only,15,1.5314235146921231,203,0.2979452054794521,,,,
이,news_only,16,1.4934598620544521,147,0.136986301369863,,,,
도서관,news_only,17,1.4754037118376713,91,0.02054794520547945,,,,
결과,news_only,18,1.4227640550321918,206,0.3595890410958904,,,,
금융,news_only,21,1.3365248994315069,142,0.17123287671232876,,,,
정부,news_only,25,1.3185606705928081,146,0.1917808219178082,,,,
문제,news_only,26,1.301853191506507,169,0.2842465753424658,,,,
기업,news_only,27,1.2694719890849315,128,0.14726027397260275,,,,
가입,news_only,28,1.2612186675164383,86,0.03424657534246575,,,,
기후,news_only,29,1.2593469947681506,111,0.0958904109589041,,,,
청년,news_only,30,1.2473299759650687,104,0.07876712328767123,,,,
생각,news_only,33,1.2076995400171233,139,0.21232876712328766,,,,
기준,news_only,34,1.197525018260959,148,0.2534246575342466,,,,
중국,news_only,35,1.189652337407192,98,0.07534246575342465,,,,
김,news_only,36,1.155876212852397,105,0.10616438356164383,,,,
단백질,news_only,37,1.150182766833904,73,0.023972602739726026,,,,
이날,news_only,40,1.1303719490910957,156,0.3253424657534247,,,,
기술,news_only,41,1.1294576614917808,120,0.17123287671232876,,,,
정,news_only,42,1.1263521783651462,96,0.07191780821917808,,,,
과정,news_only,43,1.1201760486445205,140,0.2602739726027397,,,,
서울,news_only,44,1.1143731690924656,150,0.3082191780821918,,,,
투표,news_only,45,1.1133466669342464,95,0.08561643835616438,,,,
가능,news_only,46,1.1068388665934932,152,0.3219178082191781,,,,
따르다,news_only,47,1.106781137279452,158,0.3493150684931507,,,,
위험,news_only,48,1.0915483008489724,102,0.11643835616438356,,,,
지구,news_only,49,1.078019252830822,96,0.09931506849315068,,,,
관련,news_only,50,1.0631478587017125,146,0.3219178082191781,,,,
많다,news_only,51,1.0561541480613015,140,0.2979452054794521,,,,
장,news_only,52,1.0492949282881954,117,0.1541095890410959,,,,
민주당,news_only,53,1.0434394991246574,87,0.07876712328767123,,,,
수사,news_only,54,1.0430300353386985,89,0.08561643835616438,,,,
시장,news_only,55,1.0414531080770548,113,0.1815068493150685,,,,
높다,news_only,56,1.0382782598979452,118,0.2054794520547945,,,,
교육,news_only,57,1.0362822740356163,81,0.06164383561643835,,,,
신용,news_only,58,1.033421110333904,83,0.0684931506849315,,,,
탄소,news_only,59,1.0304245180890412,77,0.05136986301369863,,,,
필요,news_only,60,1.0252233155650685,138,0.3082191780821918,,,,
코스피,news_only,61,1.0234886657136983,80,0.06164383561643835,,,,
뒤,news_only,62,1.0205615423958903,145,0.3458904109589041,,,,
나오다,news_only,64,1.0194568508089041,140,0.3219178082191781,,,,
통하다,news_only,65,1.0152733790763697,147,0.3595890410958904,,,,
태양,news_only,66,1.01027881985,73,0.04452054794520548,,,,
관계,news_only,67,1.0096445952907533,101,0.14383561643835616,,,,
도시,news_only,68,0.9954233843613013,82,0.07534246575342465,,,,
중앙,news_only,70,0.9869786472724239,85,0.07534246575342465,,,,
나타나다,news_only,71,0.9854844500715753,112,0.2054794520547945,,,,
후보,news_only,73,0.9768959716952055,73,0.05136986301369863,,,,
선관위,news_only,74,0.9768959716948629,73,0.05136986301369863,,,,
국민,news_only,75,0.9764363327750001,103,0.1678082191780822,,,,
경우,news_only,76,0.973353236502055,123,0.2671232876712329,,,,
미래,news_only,77,0.9690429444674657,93,0.1267123287671233,,,,
지수,news_only,78,0.9552448379250342,88,0.09931506849315068,,,,
올해,news_only,79,0.9549710133654109,114,0.2328767123287671,,,,
북한,news_only,80,0.9501316984976027,71,0.05136986301369863,,,,
발생,news_only,83,0.9475465787928082,107,0.20205479452054795,,,,
변화,news_only,85,0.9396692272989725,94,0.14383561643835616,,,,
방식,news_only,86,0.9392486968623286,104,0.1917808219178082,,,,
계획,news_only,87,0.9392486968619862,104,0.1917808219178082,,,,
오르다,news_only,88,0.9385164751910958,99,0.1678082191780822,,,,
위원장,news_only,89,0.937555087944863,80,0.08561643835616438,,,,
의원,news_only,90,0.9354920136208904,89,0.1232876712328767,,,,
차별,news_only,91,0.9353907801797945,71,0.0547945205479452,,,,
경쟁,news_only,93,0.9341571638030822,76,0.07191780821917808,,,,
사용,news_only,94,0.9318025707311643,99,0.17123287671232876,,,,
일,news_only,95,0.9267973172044519,108,0.2191780821917808,,,,
정보,news_only,96,0.9238971892023974,107,0.21575342465753425,,,,
분석,news_only,97,0.9153559670527396,100,0.18493150684931506,,,,
규모,news_only,98,0.9100765820044521,96,0.1678082191780822,,,,
은행,news_only,99,0.8995168095897259,75,0.07876712328767123,,,,
주,news_only,100,0.898922130109589,84,0.11643835616438356,,,,
읽다,youtube_only,,,,,2,5.216499770233846,324,0.9538461538461539
소설,youtube_only,,,,,4,2.884038457929231,127,0.6153846153846154
좋다,youtube_only,,,,,5,2.740837687095385,133,0.7076923076923077
재밌다,youtube_only,,,,,6,2.2561614999615385,101,0.6307692307692307
행복,youtube_only,,,,,8,1.998740526252308,45,0.13846153846153847
작품,youtube_only,,,,,10,1.8220959226107691,49,0.23076923076923078
살다,youtube_only,,,,,11,1.8151119497923078,55,0.3076923076923077
마음,youtube_only,,,,,12,1.7532605236307695,59,0.38461538461538464
사랑,youtube_only,,,,,13,1.72138532142,51,0.2923076923076923
글,youtube_only,,,,,14,1.6234637054584615,47,0.27692307692307694
느끼다,youtube_only,,,,,15,1.5766231337292311,52,0.36923076923076925
돈,youtube_only,,,,,16,1.5462052444953847,36,0.15384615384615385
느낌,youtube_only,,,,,17,1.5169185423507692,48,0.3384615384615385
좋아하다,youtube_only,,,,,18,1.4553444311400001,48,0.36923076923076925
정도,youtube_only,,,,,21,1.2957012549246154,41,0.3384615384615385
문장,youtube_only,,,,,22,1.2483452733384615,30,0.16923076923076924
단편,youtube_only,,,,,23,1.1651222551153846,28,0.16923076923076924
교수,youtube_only,,,,,24,1.1477865482784615,23,0.09230769230769231
내용,youtube_only,,,,,25,1.1141174280123078,36,0.35384615384615387
인물,youtube_only,,,,,26,1.0783833011384618,29,0.23076923076923078
안,youtube_only,,,,,27,1.070795209986154,31,0.27692307692307694
운동,youtube_only,,,,,28,1.0699649493400003,17,0.03076923076923077
위하다,youtube_only,,,,,29,1.0513353929415383,29,0.24615384615384617
보이다,youtube_only,,,,,31,1.0463322541953846,31,0.2923076923076923
먹다,youtube_only,,,,,32,1.0411976700646155,28,0.23076923076923078
전,youtube_only,,,,,33,1.036253429016923,30,0.27692307692307694
추천,youtube_only,,,,,35,1.021274309013846,33,0.35384615384615387
제목,youtube_only,,,,,36,1.0150824483584615,28,0.24615384615384617
가지다,youtube_only,,,,,37,1.0112790282338462,32,0.3384615384615385
감정,youtube_only,,,,,38,1.0095020709907694,25,0.18461538461538463
삶,youtube_only,,,,,39,1.0040120389923077,27,0.23076923076923078
꿈,youtube_only,,,,,40,0.9980752593769231,20,0.09230769230769231
진심,youtube_only,,,,,41,0.9947250226984617,17,0.046153846153846156
나다,youtube_only,,,,,42,0.9788295037753847,27,0.24615384615384617
모르다,youtube_only,,,,,43,0.9788269474753847,29,0.2923076923076923
부분,youtube_only,,,,,44,0.9691219881476923,24,0.18461538461538463
주인공,youtube_only,,,,,46,0.9425765591938461,26,0.24615384615384617
그러다,youtube_only,,,,,47,0.9197131936492308,26,0.26153846153846155
사실,youtube_only,,,,,48,0.9154532004476922,22,0.16923076923076924
말씀,youtube_only,,,,,49,0.9063236146061538,25,0.24615384615384617
소개,youtube_only,,,,,50,0.9040176012753848,28,0.3230769230769231
집,youtube_only,,,,,51,0.9019530592892308,21,0.15384615384615385
속,youtube_only,,,,,52,0.8843396092769231,25,0.26153846153846155
노동자,youtube_only,,,,,53,0.88114760534,14,0.03076923076923077
다르다,youtube_only,,,,,54,0.8775689873907692,26,0.2923076923076923
나라,youtube_only,,,,,55,0.8747103558338463,19,0.12307692307692308
기억,youtube_only,,,,,57,0.8612898093246153,18,0.1076923076923077
노동,youtube_only,,,,,58,0.8483639704707693,17,0.09230769230769231
전쟁,youtube_only,,,,,59,0.8262038837523077,15,0.06153846153846154
일제,youtube_only,,,,,60,0.8182084906723077,13,0.03076923076923077
찾다,youtube_only,,,,,61,0.8180838836246155,22,0.23076923076923078
마지막,youtube_only,,,,,62,0.8180838836230769,22,0.23076923076923078
처음,youtube_only,,,,,63,0.8180838836215386,22,0.23076923076923078
그때,youtube_only,,,,,64,0.816052767926154,19,0.15384615384615385
이번,youtube_only,,,,,65,0.8135924405353847,23,0.26153846153846155
소설집,youtube_only,,,,,66,0.8134403754723077,17,0.1076923076923077
앞,youtube_only,,,,,71,0.7847992038153847,20,0.2
인생,youtube_only,,,,,72,0.782635581536923,17,0.12307692307692308
선택,youtube_only,,,,,73,0.7826355815353846,17,0.12307692307692308
중요,youtube_only,,,,,75,0.7672215739538463,19,0.18461538461538463
들어가다,youtube_only,,,,,76,0.7672215739507692,19,0.18461538461538463
아이,youtube_only,,,,,77,0.7655909416215385,16,0.1076923076923077
편지,youtube_only,,,,,78,0.7552693760046154,12,0.03076923076923077
주제,youtube_only,,,,,79,0.7485564445338462,15,0.09230769230769231
목소리,youtube_only,,,,,80,0.7318543664492309,14,0.07692307692307693
상,youtube_only,,,,,81,0.7318543664492309,14,0.07692307692307693
시리즈,youtube_only,,,,,82,0.7318543664492309,14,0.07692307692307693
실리다,youtube_only,,,,,83,0.7268414911153845,18,0.18461538461538463
요즘,youtube_only,,,,,84,0.7268414911153845,18,0.18461538461538463
사다,youtube_only,,,,,85,0.7253920965738462,19,0.2153846153846154
독자,youtube_only,,,,,86,0.7177415077692308,15,0.1076923076923077
위로,youtube_only,,,,,87,0.7177415077692308,15,0.1076923076923077
존재,youtube_only,,,,,88,0.7177415077692308,15,0.1076923076923077
주다,youtube_only,,,,,89,0.70747168742,20,0.26153846153846155
끝,youtube_only,,,,,90,0.7073956548892307,17,0.16923076923076924
수상,youtube_only,,,,,91,0.7021588395523077,12,0.046153846153846156
배경,youtube_only,,,,,92,0.6986526815630769,14,0.09230769230769231
조금,youtube_only,,,,,93,0.6986526815630769,14,0.09230769230769231
엄마,youtube_only,,,,,94,0.6905608072384616,15,0.12307692307692308
힘들다,youtube_only,,,,,95,0.6872135651738461,18,0.2153846153846154
지금,youtube_only,,,,,96,0.6872135651723077,18,0.2153846153846154
이름,youtube_only,,,,,97,0.687202330883077,16,0.15384615384615385
자체,youtube_only,,,,,98,0.6693413593292308,18,0.23076923076923078
생활,youtube_only,,,,,99,0.6662468420830769,15,0.13846153846153847
