rank,youtube_keyword,nearest_news_keyword,similarity,quantile_relation_type,youtube_core_score,news_core_score
1,힘들다,청년,0.3068568110466003,relative_semantic_gap,0.6872135651738461,1.247329975965069
2,엄마,대표,0.3960256278514862,relative_semantic_gap,0.6905608072384616,1.9892669369219176
3,소설집,생각,0.4179456233978271,relative_semantic_gap,0.8134403754723077,1.207699540017123
4,운동,교육,0.4334452748298645,relative_semantic_gap,1.0699649493400003,1.0362822740356163
5,행복,대통령,0.4462438225746155,relative_semantic_gap,1.998740526252308,2.645729065822945
6,노동,국민,0.4498394727706909,relative_semantic_gap,0.8483639704707693,0.976436332775
7,아이,대표,0.4500086605548858,relative_semantic_gap,0.7655909416215385,1.9892669369219176
8,편지,관계,0.4503705501556396,relative_semantic_gap,0.7552693760046154,1.0096445952907531
9,목소리,이,0.4588349461555481,relative_semantic_gap,0.7318543664492309,1.493459862054452
10,마지막,과정,0.4598521292209625,relative_semantic_gap,0.8180838836230769,1.1201760486445205
11,실리다,같다,0.4601621925830841,relative_semantic_gap,0.7268414911153845,1.5346448767273977
12,모르다,나오다,0.4667245745658874,relative_semantic_gap,0.9788269474753848,1.019456850808904
13,소설,청년,0.4670877456665039,relative_semantic_gap,2.884038457929231,1.247329975965069
14,재밌다,통하다,0.4772824048995971,relative_semantic_gap,2.2561614999615385,1.0152733790763695
15,위로,생각,0.4795142412185669,relative_semantic_gap,0.7177415077692308,1.207699540017123
16,일제,사용,0.4801355004310608,relative_semantic_gap,0.8182084906723077,0.9318025707311643
17,속,같다,0.4822438061237335,relative_semantic_gap,0.8843396092769231,1.5346448767273977
18,집,서울,0.4829041361808777,relative_semantic_gap,0.9019530592892308,1.1143731690924656
19,지금,나타나다,0.4834036231040954,relative_semantic_gap,0.6872135651723077,0.9854844500715751
20,단편,생각,0.4844807982444763,relative_semantic_gap,1.1651222551153846,1.207699540017123
21,먹다,따르다,0.4917426109313965,relative_semantic_gap,1.0411976700646155,1.106781137279452
22,시리즈,연구,0.4930942356586456,relative_semantic_bridge,0.7318543664492309,2.059550925862671
23,사다,사용,0.4950804710388183,relative_semantic_bridge,0.7253920965738462,0.9318025707311643
24,노동자,차별,0.4987810850143432,relative_semantic_bridge,0.88114760534,0.9353907801797944
25,기억,생각,0.5048359036445618,relative_semantic_bridge,0.8612898093246153,1.207699540017123
26,요즘,사람,0.507494330406189,relative_semantic_bridge,0.7268414911153845,1.693476362685959
27,주인공,청년,0.5095813274383545,relative_semantic_bridge,0.942576559193846,1.247329975965069
28,그때,뒤,0.516490638256073,relative_semantic_bridge,0.816052767926154,1.0205615423958905
29,사랑,관계,0.5204735994338989,relative_semantic_bridge,1.72138532142,1.0096445952907531
30,전쟁,경쟁,0.520483136177063,relative_semantic_bridge,0.8262038837523077,0.9341571638030822
31,진심,가능,0.5263835787773132,relative_semantic_bridge,0.9947250226984616,1.1068388665934932
32,읽다,나오다,0.5278654098510742,relative_semantic_bridge,5.216499770233846,1.019456850808904
33,선택,생각,0.5286779403686523,relative_semantic_bridge,0.7826355815353846,1.207699540017123
34,위하다,따르다,0.5322085618972778,relative_semantic_bridge,1.0513353929415383,1.106781137279452
35,수상,대통령,0.537112832069397,relative_semantic_bridge,0.7021588395523077,2.645729065822945
36,돈,사람,0.5431256294250488,relative_semantic_bridge,1.5462052444953849,1.693476362685959
37,정도,규모,0.5456331372261047,relative_semantic_bridge,1.2957012549246154,0.910076582004452
38,삶,사람,0.5491976737976074,relative_semantic_bridge,1.0040120389923075,1.693476362685959
39,생활,기술,0.5569140911102295,relative_semantic_bridge,0.6662468420830769,1.1294576614917808
40,처음,사람,0.5591323375701904,relative_semantic_bridge,0.8180838836215386,1.693476362685959
41,독자,대표,0.5604973435401917,relative_semantic_bridge,0.7177415077692308,1.9892669369219176
42,그러다,뒤,0.5618466138839722,relative_semantic_bridge,0.9197131936492308,1.0205615423958905
43,끝,과정,0.561895489692688,relative_semantic_bridge,0.7073956548892307,1.1201760486445205
44,작품,생각,0.565071702003479,relative_semantic_bridge,1.8220959226107687,1.207699540017123
45,상,정,0.5742518901824951,relative_semantic_bridge,0.7318543664492309,1.1263521783651462
46,추천,대표,0.5744657516479492,relative_semantic_bridge,1.021274309013846,1.9892669369219176
47,가지다,이,0.5790244340896606,relative_semantic_bridge,1.0112790282338462,1.493459862054452
48,제목,대표,0.5795494914054871,relative_semantic_bridge,1.0150824483584615,1.9892669369219176
49,나라,사람,0.5820490121841431,relative_semantic_bridge,0.8747103558338463,1.693476362685959
50,좋아하다,통하다,0.5858678817749023,relative_semantic_bridge,1.45534443114,1.0152733790763695
51,좋다,통하다,0.5879440307617188,relative_semantic_bridge,2.740837687095385,1.0152733790763695
52,이번,이날,0.5888938307762146,relative_semantic_bridge,0.8135924405353847,1.1303719490910955
53,중요,필요,0.5912578701972961,relative_semantic_bridge,0.7672215739538463,1.0252233155650683
54,안,김,0.5999969244003296,relative_semantic_bridge,1.070795209986154,1.155876212852397
55,문장,사람,0.6043703556060791,relative_semantic_bridge,1.2483452733384617,1.693476362685959
56,존재,나타나다,0.6070172190666199,relative_semantic_bridge,0.7177415077692308,0.9854844500715751
57,찾다,나오다,0.6214823722839355,relative_semantic_bridge,0.8180838836246155,1.019456850808904
58,꿈,생각,0.6238733530044556,relative_semantic_bridge,0.9980752593769232,1.207699540017123
59,부분,일,0.6245042085647583,relative_semantic_bridge,0.9691219881476923,0.926797317204452
60,인생,사람,0.6258577108383179,relative_semantic_bridge,0.782635581536923,1.693476362685959
61,배경,계획,0.62645423412323,relative_semantic_bridge,0.6986526815630769,0.9392486968619862
62,자체,결과,0.633903443813324,relative_semantic_bridge,0.6693413593292308,1.4227640550321918
63,나다,나오다,0.6345155835151672,relative_semantic_bridge,0.9788295037753848,1.019456850808904
64,주제,기준,0.6353347301483154,relative_semantic_near,0.7485564445338462,1.197525018260959
65,소개,정보,0.6361320614814758,relative_semantic_near,0.9040176012753848,0.9238971892023974
66,다르다,같다,0.6384849548339844,relative_semantic_near,0.8775689873907692,1.5346448767273977
67,사실,관련,0.6423656344413757,relative_semantic_near,0.9154532004476922,1.0631478587017125
68,느끼다,나오다,0.6454724073410034,relative_semantic_near,1.5766231337292311,1.019456850808904
69,보이다,나타나다,0.6490796804428101,relative_semantic_near,1.0463322541953846,0.9854844500715751
70,글,장,0.6509078741073608,relative_semantic_near,1.6234637054584615,1.0492949282881954
71,교수,연구,0.6554992198944092,relative_semantic_near,1.1477865482784615,2.059550925862671
72,내용,계획,0.6556068658828735,relative_semantic_near,1.1141174280123078,0.9392486968619862
73,말씀,생각,0.6571677923202515,relative_semantic_near,0.9063236146061538,1.207699540017123
74,느낌,생각,0.667412519454956,relative_semantic_near,1.5169185423507692,1.207699540017123
75,조금,이,0.6698789000511169,relative_semantic_near,0.6986526815630769,1.493459862054452
76,살다,사람,0.6699901223182678,relative_semantic_near,1.815111949792308,1.693476362685959
77,인물,사람,0.6748347282409668,relative_semantic_near,1.0783833011384618,1.693476362685959
78,전,정,0.6897972822189331,relative_semantic_near,1.036253429016923,1.1263521783651462
79,감정,생각,0.6908503770828247,relative_semantic_near,1.0095020709907694,1.207699540017123
80,이름,대표,0.7107511162757874,relative_semantic_near,0.687202330883077,1.9892669369219176
81,앞,뒤,0.7299536466598511,relative_semantic_near,0.7847992038153847,1.0205615423958905
82,들어가다,나오다,0.7485674619674683,relative_semantic_near,0.7672215739507692,1.019456850808904
83,마음,생각,0.7512744069099426,relative_semantic_near,1.7532605236307697,1.207699540017123
84,주다,주,0.756223201751709,relative_semantic_near,0.70747168742,0.898922130109589
