processed_at,video_id,url,audio_path,audio_status,transcription_status,cleaning_status,txt_status,error
2026-06-12T22:17:07,CzcuyKTZ1gc,https://youtu.be/CzcuyKTZ1gc,data\raw\youtube_audio\CzcuyKTZ1gc.mp3,success,success,success,success,
2026-06-12T22:18:24,CQ-qXV_iE-k,https://youtu.be/CQ-qXV_iE-k,data\raw\youtube_audio\CQ-qXV_iE-k.mp3,success,success,success,success,
2026-06-12T22:21:40,SCcUBA6eqxQ,https://youtu.be/SCcUBA6eqxQ,data\raw\youtube_audio\SCcUBA6eqxQ.mp3,success,success,success,success,
2026-06-12T22:52:33,RbSHuq_cA6U,https://youtu.be/RbSHuq_cA6U,data\raw\youtube_audio\RbSHuq_cA6U.mp3,success,failed,skipped,skipped,"transcription: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 40.548667411s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '40s'}]}}"
2026-06-12T22:54:22,tBE27Ko0qxk,https://youtu.be/tBE27Ko0qxk,data\raw\youtube_audio\tBE27Ko0qxk.mp3,success,failed,skipped,skipped,"transcription: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 49.173130491s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '49s'}]}}"
2026-06-12T22:56:13,WLQcBnsZkJw,https://youtu.be/WLQcBnsZkJw,data\raw\youtube_audio\WLQcBnsZkJw.mp3,success,success,failed,skipped,"cleaning: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 1.927490554s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '1s'}]}}"
2026-06-12T23:04:56,RbSHuq_cA6U,https://youtu.be/RbSHuq_cA6U,data\raw\youtube_audio\RbSHuq_cA6U.mp3,success,failed,skipped,skipped,"transcription: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 59.787534025s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '59s'}]}}"
2026-06-15T10:16:01,RbSHuq_cA6U,https://youtu.be/RbSHuq_cA6U,data\raw\youtube_audio\RbSHuq_cA6U.mp3,success,success,success,success,
2026-06-15T10:16:58,tBE27Ko0qxk,https://youtu.be/tBE27Ko0qxk,data\raw\youtube_audio\tBE27Ko0qxk.mp3,success,success,success,success,
2026-06-15T10:18:37,WLQcBnsZkJw,https://youtu.be/WLQcBnsZkJw,data\raw\youtube_audio\WLQcBnsZkJw.mp3,success,success,success,success,
2026-06-15T10:24:23,DYEXzaEAZb8,https://youtu.be/DYEXzaEAZb8,data\raw\youtube_audio\DYEXzaEAZb8.mp3,success,success,success,success,
2026-06-15T10:27:16,zyePCPyWVf0,https://youtu.be/zyePCPyWVf0,data\raw\youtube_audio\zyePCPyWVf0.mp3,success,success,success,success,
2026-06-15T10:28:18,D10lQXQ3Tr8,https://youtu.be/D10lQXQ3Tr8,data\raw\youtube_audio\D10lQXQ3Tr8.mp3,success,success,success,success,
2026-06-15T10:29:43,S6d6M18dGbI,https://youtu.be/S6d6M18dGbI,data\raw\youtube_audio\S6d6M18dGbI.mp3,success,success,success,success,
2026-06-15T10:31:33,aCgFWaz3WFw,https://youtu.be/aCgFWaz3WFw,data\raw\youtube_audio\aCgFWaz3WFw.mp3,success,success,success,success,
2026-06-22T15:44:03,-fyuFg9Qu1o,https://youtu.be/-fyuFg9Qu1o,data\raw\youtube_audio\-fyuFg9Qu1o.mp3,success,success,success,success,
2026-06-22T15:48:48,IpSKQAccpos,https://youtu.be/IpSKQAccpos,data\raw\youtube_audio\IpSKQAccpos.mp3,success,success,success,success,
2026-06-22T15:50:34,09J1BGdytD0,https://youtu.be/09J1BGdytD0,data\raw\youtube_audio\09J1BGdytD0.mp3,success,success,success,success,
2026-06-22T16:07:30,X9dJ5dHzc2I,https://youtu.be/X9dJ5dHzc2I,data\raw\youtube_audio\X9dJ5dHzc2I.mp3,success,success,success,success,
2026-06-22T16:09:18,ybKTLTlQ3Ms,https://youtu.be/ybKTLTlQ3Ms,data\raw\youtube_audio\ybKTLTlQ3Ms.mp3,success,success,success,success,
2026-06-22T16:12:39,WF16aFSQLvk,https://youtu.be/WF16aFSQLvk,data\raw\youtube_audio\WF16aFSQLvk.mp3,success,success,success,success,
2026-06-22T16:13:34,rq8YVdvWYGU,https://youtu.be/rq8YVdvWYGU,data\raw\youtube_audio\rq8YVdvWYGU.mp3,success,success,success,success,
